song,genre,stem,mud,fizz,harsh,boom,clip,rms_dbfs,crest_db
another-brick-in-the-wall-pt-2,progressive-rock,lead,0.34510165,0.0281591,0.000014671497,0.016583668,0,-35.45774,22.935041
another-brick-in-the-wall-pt-2,progressive-rock,rhythm,0.5459151,0.037944783,0.00010809485,0.019846024,0,-39.854073,21.440922
barao-vermelho-beth-balanco,brazilian-rock,rhythm,0.18813632,0.19331299,0.00006367652,0.000592858,0,-25.58068,21.60456
basket-case-green-day,pop-punk,rhythm,0.36508158,0.15278444,0.0000038371727,0.052847736,0,-18.34233,15.447929
beat-it-michael-jackson,hard-rock,lead,0.19670528,0.09880821,0.0001313575,0.016987564,0,-29.96895,21.738342
beat-it-michael-jackson,hard-rock,rhythm,0.4987653,0.05582434,0.000008909859,0.012630031,0,-28.174334,20.39732
charlie-brown-jr-lugar-ao-sol,alternative-rock,lead,0.21116224,0.063164756,0.000000016202002,0.0018227815,0,-31.829685,23.606937
charlie-brown-jr-lugar-ao-sol,alternative-rock,rhythm,0.42103422,0.07290103,0.0012544112,0.11034196,0,-21.076408,16.307934
chris-isaak-wicked-game,soft-rock,lead,0.5975846,0.041201454,0.000000042098286,0.00008790403,0,-26.617947,22.54556
chris-isaak-wicked-game,soft-rock,rhythm,0.7340062,0.019023478,0.0002506498,0.0066331294,0,-22.478645,18.45779
coldplay-clocks,alternative-rock,lead,0.35018703,0.0050387722,0.0000043242185,0.00015484716,0,-24.071772,18.813059
coldplay-clocks,alternative-rock,rhythm,0.62315464,0.0011931162,0.000000058342213,0.027930351,0,-21.798334,18.600546
cpm-22-um-minuto-para-o-fim-do-mundo,pop-punk,lead,0.079304844,0.259302,0.000000055594317,0.0026526887,0,-24.939882,21.127289
cpm-22-um-minuto-para-o-fim-do-mundo,pop-punk,rhythm,0.5281451,0.12790196,0.00000035656933,0.073707566,0,-18.102678,18.084103
foo-fighters-everlong,alternative-rock,lead,0.1596761,0.045315016,0.00000006157773,0.0003483889,0,-33.101784,26.748857
foo-fighters-everlong,alternative-rock,rhythm,0.27282506,0.13365488,0.000019182375,0.05383913,0,-18.085497,15.839689
gravity-john-mayer,blues-rock,lead,0.487254,0.0087515805,0.00000083159466,0.000115559356,0,-27.833187,25.793467
gravity-john-mayer,blues-rock,rhythm,0.7367217,0.0013107613,0.00000056719045,0.03295,0,-24.95495,23.67949
green-day-basket-case,pop-punk,rhythm,0.36508158,0.15278444,0.0000038371727,0.052847736,0,-18.34233,15.447929
green-day-when-i-come-around,pop-punk,lead,0.09418815,0.046034258,0.000000017004506,0.0019127713,0,-32.507015,24.83867
green-day-when-i-come-around,pop-punk,rhythm,0.4959008,0.102312334,0.000006953677,0.11044905,0,-18.622768,14.84751
john-mayer-gravity,blues-rock,lead,0.487254,0.0087515805,0.00000083159466,0.000115559356,0,-27.833187,25.793467
john-mayer-gravity,blues-rock,rhythm,0.7367217,0.0013107613,0.00000056719045,0.03295,0,-24.95495,23.67949
john-mayer-heartbreak-warfare,pop-rock,lead,0.36286524,0.016749943,0.0000013515938,0.00024651078,0,-27.569296,23.30913
john-mayer-heartbreak-warfare,pop-rock,rhythm,0.610956,0.009061149,0.00000013447739,0.051658694,0,-22.237568,18.26103
john-mayer-slow-dancing-in-a-burning-room,blues-rock,lead,0.47125876,0.015937235,0.0000000025455635,0.0002484786,0,-22.162586,20.634819
john-mayer-slow-dancing-in-a-burning-room,blues-rock,rhythm,0.6779193,0.012431823,0.00003041336,0.044942107,0,-20.323965,19.981855
lynyrd-skynyrd-simple-man,southern-rock,lead,0.2436733,0.31255585,0.00010254541,0.031600595,0,-26.573523,23.849993
lynyrd-skynyrd-simple-man,southern-rock,rhythm,0.56661433,0.037821203,0.00000662969,0.048705354,0,-23.814762,19.60036
metallica-enter-sandman,heavy-metal,lead,0.15718885,0.34872434,0.0000082163515,0.006079695,0,-29.666256,21.358036
metallica-enter-sandman,heavy-metal,rhythm,0.597549,0.29431695,0.000018408136,0.11074128,0,-24.887508,18.286217
nirvana-smells-like-teen-spirit,grunge,lead,0.29429474,0.19363882,0.00000028872367,0.00016087032,0,-29.47155,26.137548
nirvana-smells-like-teen-spirit,grunge,rhythm,0.2177657,0.66262245,0.0000027940541,0.014777671,0,-20.925463,17.930222
pitty-na-sua-estante,hard-rock,lead,0.67654115,0.017764296,0.0000013751795,0.00020754476,0,-33.277306,23.818508
pitty-na-sua-estante,hard-rock,rhythm,0.49550748,0.09963899,0.0007712928,0.027515307,0,-21.869732,14.263651
radiohead-creep,alternative-rock,lead,0.107334465,0.38292095,0.000001517241,0.006417261,0,-28.304325,24.539703
radiohead-creep,alternative-rock,rhythm,0.27618355,0.25863275,0.000001742934,0.056895163,0,-27.630402,23.939476
segredos-torcuato-mariano,smooth-jazz,lead,0.117869236,0.050525364,0.0000058382825,0.00075697066,0,-23.00916,16.993328
silverchair-freak,grunge,lead,0.56201357,0.06514173,0.00000017713054,0.0270343,0,-29.788458,23.431675
silverchair-freak,grunge,rhythm,0.5209002,0.0713002,0.0000062456093,0.15311055,0,-21.689825,15.797369
silverchair-israels-son,grunge,rhythm,0.343467,0.20603961,0.000038556453,0.09237162,0,-16.626305,15.648696
silverchair-pure-massacre,grunge,lead,0.44474584,0.3470937,0.0000010756969,0.000987551,0,-33.588974,21.447796
silverchair-pure-massacre,grunge,rhythm,0.33421674,0.2710541,0.0000048312427,0.064535454,0,-21.005222,15.961159
silverchair-shade,acoustic,lead,0.7103417,0.0009665011,0.00000007675638,0.0010275629,0,-28.16345,24.830935
silverchair-shade,acoustic,rhythm,0.39417207,0.037331957,0.0006109128,0.1159637,0,-19.619972,17.6829
where-the-streets-have-no-name-u2,rock,lead,0.34722233,0.12302488,0.0000026723174,0.000110650355,0,-31.89104,24.102337
where-the-streets-have-no-name-u2,rock,rhythm,0.14861324,0.39644888,0.000032856515,0.0011416068,0,-21.782883,17.259684
your-love-the-outfield,power-pop,rhythm,0.4164946,0.03385331,0.0000012909157,0.005729341,0,-31.474249,19.919384
